Edad;Sexo;Condicion;Promedio
(10-30];M;Con punto;251.3285
(50-70];F;Con punto;355.441
(10-30];M;Con punto;246.823
(10-30];F;Sin punto;241.8065
(50-70];M;Con punto;317.5
(30-50];F;Sin punto;211.6415
(50-70];M;Sin punto;260.841
(50-70];F;Con punto;303.5385
(30-50];F;Con punto;250.89
(10-30];M;Con punto;194.0745
(30-50];M;Con punto;325.342
(30-50];F;Sin punto;290.564
(50-70];F;Con punto;405.089
(10-30];F;Sin punto;227.815
(10-30];F;Sin punto;257.2755
(50-70];F;Con punto;299.912
(30-50];M;Sin punto;312
(10-30];F;Con punto;216.262
(30-50];F;Sin punto;240.5835
(30-50];F;Con punto;302.4915
(30-50];M;Con punto;217.862
(50-70];M;Sin punto;357.632
(30-50];F;Con punto;295.978
(50-70];M;Con punto;391.297
(30-50];F;Con punto;299.7465
(50-70];F;Sin punto;379.058
(30-50];M;Sin punto;324.267
(10-30];F;Sin punto;214.6265
(30-50];M;Sin punto;252.807
(50-70];M;Sin punto;244.339
(10-30];M;Sin punto;248.136
(30-50];F;Con punto;265.2595
(10-30];M;Sin punto;169.1465
(30-50];M;Sin punto;233.4455
(50-70];M;Sin punto;277.1135
(50-70];M;Con punto;324.44
(30-50];M;Con punto;229.61
(50-70];M;Sin punto;344.3295
(50-70];F;Sin punto;303.9175
(50-70];F;Con punto;335.758
(10-30];M;Con punto;223.971
(10-30];M;Sin punto;179.2605
(50-70];F;Sin punto;323.082
(30-50];M;Con punto;263.063
(30-50];M;Con punto;244.987
(50-70];M;Sin punto;263.063
(30-50];F;Sin punto;228.1955
(10-30];M;Sin punto;179.377
(10-30];M;Sin punto;248.7055
(50-70];M;Con punto;205.296
(50-70];F;Sin punto;319.958
(10-30];F;Sin punto;232.4885
(30-50];M;Sin punto;229.765
(10-30];F;Con punto;218.1705
(30-50];M;Sin punto;254.912
(30-50];M;Con punto;305.19
(50-70];F;Con punto;335.521
(30-50];F;Sin punto;335.846
(10-30];F;Con punto;273.51
(30-50];M;Sin punto;248.184
(10-30];M;Sin punto;166.9975
(10-30];M;Con punto;268.028
(50-70];F;Sin punto;300.0125
(50-70];F;Sin punto;362.556
(10-30];F;Con punto;204.575
(30-50];F;Con punto;220.1685
(10-30];M;Sin punto;234.4565
(30-50];F;Sin punto;238.3955
(10-30];M;Sin punto;217.7645
(50-70];F;Sin punto;344.5875
(50-70];F;Con punto;378.3935
(50-70];M;Con punto;368.868
(30-50];F;Sin punto;228.581
(30-50];F;Sin punto;286.895
(30-50];M;Sin punto;217.4135
(10-30];F;Con punto;236.204
(50-70];F;Con punto;395.6965
(50-70];M;Con punto;227.518
(50-70];F;Sin punto;293.5365
(10-30];F;Sin punto;286.1525
(50-70];M;Sin punto;332.3945
(30-50];F;Con punto;216.262
(10-30];M;Con punto;254.4295
(30-50];F;Sin punto;263.562
(10-30];F;Con punto;201.567
(10-30];F;Con punto;231.611
(10-30];M;Sin punto;252.995
(10-30];M;Sin punto;199.7485
(30-50];F;Sin punto;272.31
(50-70];M;Con punto;270.3605
(10-30];F;Sin punto;219.97
(30-50];M;Con punto;294.8695
(10-30];F;Sin punto;227.55
(10-30];M;Con punto;234.4565
(10-30];F;Sin punto;175.6685
(10-30];M;Con punto;245.666
(30-50];M;Sin punto;229.76
(50-70];F;Sin punto;343.5545
(30-50];M;Sin punto;187.493
(50-70];M;Con punto;408.866
(10-30];M;Con punto;214.595
(50-70];M;Sin punto;340.9505
(50-70];F;Con punto;364.867
(50-70];M;Con punto;286.434
(50-70];M;Con punto;274.0295
(30-50];M;Con punto;235.4685
(10-30];F;Con punto;178.555
(50-70];M;Sin punto;296.994
(50-70];M;Sin punto;279.4115
(30-50];F;Con punto;201.1835
(50-70];F;Sin punto;357.0455
(50-70];F;Con punto;251.0945
(30-50];F;Con punto;279.8945
(10-30];F;Con punto;220.282
(10-30];F;Sin punto;214.265
(30-50];M;Con punto;225.4995
(30-50];M;Con punto;303.4855
(30-50];F;Con punto;258.8445
(10-30];M;Con punto;164.5735
(10-30];F;Con punto;236.906
